InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
555513,STK745,Item STK745,10,2025-06-04 09:51:10.223740,23.79,10860,Germany
567511,STK123,Item STK123,11,2025-07-30 06:28:16.223740,48.58,13772,France
539089,STK392,Item STK392,7,2026-03-30 21:22:24.223740,34.25,13092,Germany
571668,STK656,Item STK656,9,2025-04-14 03:09:46.223740,1.49,10466,France
546505,STK790,Item STK790,6,2025-12-16 16:50:56.223740,24.57,14426,Germany
559049,STK455,Item STK455,19,2025-10-10 14:57:34.223740,21.31,13444,Germany
560605,STK969,Item STK969,16,2026-04-04 11:56:59.223740,6.23,13171,Spain
555895,STK674,Item STK674,15,2025-08-09 06:15:18.223740,46.24,12919,France
559327,STK128,Item STK128,7,2025-09-09 08:15:45.223740,40.45,10130,France
537566,STK456,Item STK456,16,2025-05-27 00:11:05.223740,12.27,11685,Italy
546376,STK464,Item STK464,5,2026-02-13 11:32:23.223740,13.54,10769,Germany
572022,STK707,Item STK707,16,2025-10-19 02:23:47.223740,2.57,12391,Germany
546916,STK508,Item STK508,1,2025-06-14 12:54:51.223740,15.54,12433,Spain
556971,STK365,Item STK365,19,2026-02-20 01:20:02.223740,29.65,11184,Italy
549029,STK390,Item STK390,5,2025-05-29 09:18:01.223740,21.62,14555,Italy
540685,STK666,Item STK666,7,2026-03-05 01:29:30.223740,48.49,13385,Spain
539453,STK252,Item STK252,19,2025-08-18 14:33:59.223740,3.75,14117,France
577821,STK318,Item STK318,5,2026-04-11 11:26:25.223740,29.98,14843,United Kingdom
579341,STK272,Item STK272,17,2025-07-18 12:43:06.223740,43.06,12904,Spain
545029,STK707,Item STK707,8,2025-09-02 08:25:30.223740,24.56,10474,France
579213,STK734,Item STK734,1,2025-09-14 20:33:32.223740,1.15,11082,Italy
577058,STK111,Item STK111,2,2025-08-02 15:06:26.223740,12.9,12558,Spain
537525,STK615,Item STK615,15,2025-10-28 14:01:31.223740,16.86,12047,United Kingdom
547079,STK461,Item STK461,18,2025-09-24 19:58:42.223740,48.33,12747,Germany
540677,STK957,Item STK957,11,2025-11-27 00:08:57.223740,45.68,10975,Spain
577520,STK678,Item STK678,10,2026-03-14 03:36:42.223740,47.51,11806,United Kingdom
557210,STK756,Item STK756,4,2025-05-06 08:28:16.223740,41.46,10189,United Kingdom
555515,STK576,Item STK576,5,2026-02-25 10:56:37.223740,18.23,12734,Spain
571580,STK676,Item STK676,4,2025-06-29 19:48:01.223740,45.39,13005,France
558393,STK181,Item STK181,13,2025-04-22 01:07:44.223740,49.1,14658,Spain
567674,STK716,Item STK716,13,2025-08-31 07:52:31.223740,18.15,11899,Italy
573442,STK792,Item STK792,18,2026-01-05 14:01:21.223740,13.77,11267,United Kingdom
579713,STK439,Item STK439,2,2025-12-18 18:37:31.223740,27.8,11528,United Kingdom
577443,STK540,Item STK540,16,2025-06-17 19:52:05.223740,10.17,13202,Germany
572629,STK716,Item STK716,1,2026-04-04 04:34:21.223740,2.6,13556,United Kingdom
570849,STK325,Item STK325,19,2025-09-13 01:04:03.223740,47.35,13890,Germany
563824,STK470,Item STK470,9,2025-08-13 10:39:17.223740,46.36,10646,United Kingdom
557686,STK127,Item STK127,3,2025-08-27 14:52:59.223740,8.97,12888,United Kingdom
570805,STK115,Item STK115,7,2025-09-05 20:44:56.223740,20.98,12435,Spain
578527,STK376,Item STK376,10,2025-08-27 03:52:47.223740,41.72,10600,Spain
537820,STK432,Item STK432,1,2025-09-14 10:58:01.223740,33.39,12363,Italy
550396,STK582,Item STK582,10,2025-12-09 05:06:51.223740,20.34,12061,France
559294,STK909,Item STK909,9,2026-01-13 09:18:17.223740,37.46,10241,Italy
